,text
169,"This week, I signed HB819 into law. This bi-partisan legislation honors Georgians who served in the armed forces of a U.S. ally during wartime. We are grateful for these veterans and the sacrifices made to ensure peace and secure liberty. #gapol"
170,"Encouraging news from Georgia's own, 
@HomeDepot
. This expansion will create 1,000 jobs for hardworking Georgians and enhance economic opportunity throughout the region. #gapol"
171,"“Be on your guard; stand firm in the faith; be courageous; be strong. Do everything in love.” - 1 Corinthians 16:13-14

(
 credit: 
@ajc
 , April 28, 2020)"
172,"We continue to encourage fellow Georgians to wear a mask, practice social distancing, wash their hands regularly, and follow public health guidance. Together, we will flatten the curve and stop the spread of COVID-19 in Georgia."
173,"While government plays an important role in fighting this pandemic, the people of our great state will ultimately be the ones who defeat this virus."
174,"When businesses, restaurants, venues, and citizens follow the guidelines carefully crafted by data, science, and the Georgia Department of Public Health, we will take our next measured step forward."
175,"As our state ramps up testing, expands hospital surge capacity, and provides staffing, supplies, and resources to cities and counties throughout Georgia, we urge local officials to enforce the rules and restrictions detailed in these orders."
176,"The fight against COVID-19 continues, and these executive orders reaffirm our commitment to protect the lives and livelihoods of all Georgians. #gapol"
177,"Even during a pandemic, Georgia remains a leader in television and film. With $2.2 billion in spending last fiscal year, these productions are employing thousands of Georgians & supporting countless communities & small businesses. #gapol"
178,All students - not matter their zip code - should have access to High Speed Internet. This is great news for Georgia! #gapol
179,"As part of our strategic plan to expand surge capacity, we are re-opening the 
@GWCC_ATL
. These additional beds will provide relief to surrounding healthcare facilities & ensure that all COVID-19 patients have access to the best care possible. #gapol"
180,"So honored to call 
@THEHermanCain
 a friend and supporter. Saddened by his passing but know without a doubt that Herman made a significant and long lasting  impact on our state and country. #gapol"
181,"Hunker down, mask up, and let's stop the spread of COVID-19 in Georgia! #gapol"
182,"Hunker down and mask up, Georgia! #gapol"
183,Great way to start the season! #ForTheA
184," Launched “4 Things for 4 Weeks” campaign 
 Filed lawsuit to stop business closures 
 Recruited, announced hundreds of new jobs

Hunker down and mask up! We will win this war TOGETHER! #gapol"
185,"Our recent actions to protect the lives and livelihoods of all Georgians:
 Signed new contract to ramp up COVID-19 testing 
 Continued partnership with hospitals to expand bed capacity 
 Secured millions of masks for local government"
